	2008	2009	2010	2011	2012
Российская Федерация	21.0804	18.3793	17.6219	18.633	18.5739
Центральный фед.округ	22.3037	19.2016	17.87	19.1255	18.5463
Белгородская область	17.115	15.4746	15.6196	18.5606	16.9267
Брянская область	18.8769	16.0038	17.6451	20.199	18.032
Владимирская область	35.4611	29.1715	29.7185	32.5156	29.8584
Воронежская область	25.7849	23.612	22.5943	23.8324	26.1316
Ивановская область	16.9506	16.8675	15.2831	16.2207	16.877
Калужская область	35.4995	27.621	25.2606	31.6507	34.8457
Костромская область	19.9414	14.2998	12.0582	13.6562	11.1865
Курская область	23.7424	21.1179	19.3277	21.9396	26.1185
Липецкая область	24.8115	22.865	23.1463	23.5781	21.5053
г. Москва	8.2614	7.0987	6.6079	6.6363	6.9582
Московская область	33.6742	28.2902	25.6933	25.6489	23.9607
Орловская область	26.0362	24.7278	19.9379	24.4916	20.7994
Рязанская область	32.0301	29.5403	28.3124	31.7863	29.094
Смоленская область	29.0879	26.177	22.4641	28.1578	22.4641
Тамбовская область	22.5128	18.5982	19.0181	18.1912	21.1312
Тверская область	30.7348	22.1993	20.9519	22.4222	20.8049
Тульская область	29.1133	27.1063	24.4095	25.8377	23.6954
Ярославская область	24.1824	21.9768	17.9895	20.6687	20.4391
Северо-Западный фед.округ	19.8503	17.1145	15.673	17.7345	17.5633
Республика Карелия	11.8728	15.7091	15.0538	14.4692	15.2
Республика Коми	12.3946	13.5622	12.3008	12.3008	13.6676
Архангельская обл. (с АО )	15.882	16.2436	14.5881	16.581	16.8999
Архангельская обл. (без а/о)	15.9368	16.4752	14.8496	16.6645	17.1595
Ненецкий АО	14.2793	9.5186	7.0934	14.1867	9.4578
Вологодская область	22.3242	15.0217	14.9136	17.0559	16.3967
Калининградская область	22.2956	17.6026	15.2466	18.0187	19.1915
ГУВД г.Санкт-Петерб. и Лен.обл	20.0116	16.721	14.4305	16.6777	16.5172
Ленинградская область	38.4486	35.1739	33.0143	37.5553	38.2917
г. Санкт-Петербург	13.4193	10.1487	7.8474	9.2821	8.8038
Мурманская область	7.9913	9.4961	11.7131	9.4422	9.3226
Новгородская  область	40.1571	32.044	31.6884	34.4982	31.8445
Псковская область	31.6182	26.8527	25.9962	35.4361	32.5315
Северо-Кавказский фед. округ	0	20.0503	19.2222	19.8813	18.7251
Ставропольский край	17.4118	16.2524	16.3028	17.2249	17.2986
Республика Ингушетия	13.6136	17.9102	13.5477	18.5797	17.0314
Республика Дагестан	17.8583	21.5733	22.3212	19.9831	18.193
Кабардино-Балкарская Респ.	23.8967	27.3423	20.6977	25.7323	22.264
Респ. Сев.Осетия - Алания	18.7912	19.9485	18.8341	20.5462	20.8316
Карачаево-Черкесская Респ.	33.2227	32.772	30.6779	29.507	29.9754
Чеченская Республика	16.4593	16.3107	16.4032	18.1382	16.1667
Южный фед. округ	0	19.5922	18.7917	19.572	19.0834
Краснодарский край	22.3164	20.7707	20.6563	21.2182	21.0826
Астраханская область	17.5846	15.5187	14.8941	17.6743	16.1849
Волгоградская область	19.1662	19.2002	15.9466	16.9505	15.4833
Ростовская область	19.3681	17.8697	17.4725	18.0399	17.969
Республика Адыгея	31.28	25.0692	27.5291	25.2726	24.1443
Республика Калмыкия	30.4685	33.4506	30.724	34.2555	34.6087
Приволжский фед.округ	20.2271	17.9124	17.4231	17.8184	17.825
Республика Башкортостан	16.7048	14.4678	14.8795	17.3143	15.6665
Республика Марий Эл	23.3213	21.1393	21.0549	15.6121	19.6226
Республика Мордовия	26.2973	22.2081	20.2051	20.0841	24.1977
Республика Татарстан	18.9486	17.2479	16.6733	17.0702	17.1232
Удмуртская Республика	19.6381	17.5991	15.6587	18.345	16.0518
Чувашская Республика	23.1567	21.2606	20.4169	19.0088	19.4
Кировская область	21.5814	17.9846	14.5213	18.0438	16.3185
Нижегородская область	23.3941	21.7321	21.8438	19.7677	19.8881
Оренбургская область	21.7083	19.0857	15.9022	17.0854	16.8961
Пензенская область	23.7028	18.9877	23.0842	21.4093	20.4626
Пермский край	22.5515	19.1255	18.5105	20.0283	20.3615
Самарская область	18.4696	17.09	15.646	14.5735	16.9709
Саратовская область	16.6421	14.925	15.3226	16.4143	16.6482
Ульяновская область	17.9087	15.6323	17.4806	17.7887	16.3255
Уральский фед.округ	19.8278	16.1812	16.8647	16.8239	19.3321
Курганская область	23.844	21.3085	25.0115	21.8454	23.6395
Свердловская область	18.2682	14.1763	14.7253	15.9316	18.0254
Тюменская область (с а/о)	21.9958	16.7406	18.0742	17.5203	21.5724
Тюменская обл. (без а/о)	27.6901	19.9954	20.9639	21.5586	27.5801
Ханты-Мансийский АО - Югра	19.731	15.3951	17.6132	15.0785	18.9781
Ямало-Ненецкий АО	14.3717	12.508	12.2593	14.4549	14.089
Челябинская область	18.5987	16.7582	16.161	15.9045	17.6146
Сибирский фед.округ	21.9092	18.0963	17.4888	19.1145	19.0531
Республика Алтай	37.1762	25.8118	26.1004	28.4731	38.9133
Республика Бурятия	29.795	23.2112	20.3427	25.2208	23.145
Республика Тыва	38.8295	39.1795	37.5328	43.21	45.4178
Республика Хакасия	21.9645	18.7714	21.5153	23.5556	25.5958
Алтайский край	20.1716	15.4599	15.1764	16.5414	15.8589
Красноярский край	23.7687	21.4549	19.5237	20.975	20.1802
Иркутская область	26.0799	20.0353	18.7398	20.2182	19.9785
Кемеровская область	21.3562	16.8683	17.2656	18.1519	18.1874
Новосибирская область	17.2254	15.4933	15.0573	16.1517	16.3404
Омская область	15.2627	11.8661	11.9279	13.7171	16.5996
Томская область	14.493	12.6143	13.2214	16.3831	11.4011
Забайкальский край	28.5987	24.4398	23.1876	23.2772	23.4562
Дальневосточный фед. округ	23.1098	17.7706	17.8871	19.6727	20.1385
Республика Саха (Якутия)	13.5585	13.5825	11.5869	16.011	13.5883
Приморский край	27.5575	19.1649	20.636	22.5533	24.067
Хабаровский край	22.2268	15.2648	16.9234	16.0666	15.9237
Камчатский край	21.9864	16.8831	16.3625	17.2391	21.0376
Амурская область	22.8836	17.4676	16.6147	21.9592	21.7269
Магаданская область	27.1379	20.8629	20.4654	18.6049	29.7678
Сахалинская область	24.6847	24.8776	22.708	23.491	22.1207
Еврейская АО	30.722	26.4276	24.3192	23.2383	25.4001
Чукотский АО	5.9686	8.0775	6.174	4.116	2.058

